id,name,city,state,street,zip,country,url,grade_levels,enrollment_size,school_type,student_body
96667,Ronald Knox Montessori School,Wilmette,IL,2031 Elmwood Ave,60091-1431,US,/school-directory/school/96667,,101-200,Day,CoEd
43789,Roots Nature & Leadership Academy,Sarasota,FL,7950 South Tamiami Trail,34231,US,/school-directory/school/43789,,0-100,,CoEd
44667,Rosarian Academy,West Palm Beach,FL,807 N Flagler Dr,33401-3799,US,/school-directory/school/44667,,301-500,Day,CoEd
42890,Ross School,East Hampton,NY,18 Goodfriend Dr,11937-2584,US,/school-directory/school/42890,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",301-500,Boarding Day,CoEd
39724,Rossman School,Saint Louis,MO,12660 Conway Rd,63141-8625,US,/school-directory/school/39724,"Pre-School, Elementary/Primary School",201-300,Day,CoEd
39726,Rowland Hall-St. Mark's School,Salt Lake City,UT,720 S Guardsman Way,84108-1374,US,/school-directory/school/39726,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",1001+,Day,CoEd
39735,Roycemore School,Evanston,IL,1200 Davis St,60201-4118,US,/school-directory/school/39735,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",201-300,Day,CoEd
39739,Rudolf Steiner School,New York,NY,15 E 79th St,10075-0147,US,/school-directory/school/39739,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",201-300,Day,CoEd
39741,Rumsey Hall School,Washington Depot,CT,201 Romford Rd,06794-1399,US,/school-directory/school/39741,"Pre-School, Elementary/Primary School, Middle School/Junior High School",301-500,Boarding Day,CoEd
39751,Rutgers Preparatory School,Somerset,NJ,1345 Easton Ave,08873-1499,US,/school-directory/school/39751,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",701-1000,Day,CoEd
39755,Rye Country Day School,Rye,NY,3 Cedar Street,10580-4106,US,/school-directory/school/39755,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",701-1000,Day,CoEd
40394,Sabot School,Richmond,VA,3400 Stony Point Rd,23235-1318,US,/school-directory/school/40394,"Pre-School, Elementary/Primary School, Middle School/Junior High School",201-300,Day,CoEd
39757,Sacramento Country Day School,Sacramento,CA,2636 Latham Dr,95864-7105,US,/school-directory/school/39757,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,CoEd
40478,Sacred Heart Academy Bryn Mawr,Bryn Mawr,PA,480 S. Bryn Mawr Ave.,19010-2101,US,/school-directory/school/40478,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",101-200,Day,Girls
41711,Sacred Heart Cathedral Preparatory,San Francisco,CA,1055 Ellis St,94109-7716,US,/school-directory/school/41711,,1001+,Day,CoEd
39004,Sacred Heart Greenwich,Greenwich,CT,1177 King St,06831-2935,US,/school-directory/school/39004,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,Girls
38699,Sacred Heart Schools,Chicago,IL,6250 N Sheridan Rd,60660-1730,US,/school-directory/school/38699,"Pre-School, Elementary/Primary School, Middle School/Junior High School",501-700,Day,CoEd
39860,Sacred Heart Schools Atherton,Atherton,CA,150 Valparaiso Ave,94027-4402,US,/school-directory/school/39860,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",1001+,Day,CoEd
42157,Sacred Hearts Academy,Honolulu,HI,3253 Waialae Ave,96816-5835,US,/school-directory/school/42157,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,Girls
39761,Saddle River Day School,Saddle River,NJ,147 Chestnut Ridge Rd,07458-2803,US,/school-directory/school/39761,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,CoEd
42540,Sage Hill School,Newport Coast,CA,20402 Newport Coast Dr,92657-0300,US,/school-directory/school/42540,High School,501-700,Day,CoEd
41983,Sage Ridge School,Reno,NV,2515 Crossbow Ct,89511-5301,US,/school-directory/school/41983,"Elementary/Primary School, Middle School/Junior High School, High School",101-200,Day,CoEd
41935,Saint Andrew's Episcopal School,Saratoga,CA,13601 Saratoga Ave,95070-5055,US,/school-directory/school/41935,"Pre-School, Elementary/Primary School, Middle School/Junior High School",301-500,Day,CoEd
39680,Saint Andrew's School,Boca Raton,FL,3900 Jog Rd,33434-4455,US,/school-directory/school/39680,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",1001+,Boarding Day,CoEd
39689,Saint Ann's School,Brooklyn,NY,129 Pierrepont St,11201-2705,US,/school-directory/school/39689,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",1001+,Day,CoEd
39356,Saint David's School,New York,NY,12 E 89th St,10128-0601,US,/school-directory/school/39356,"Pre-School, Elementary/Primary School, Middle School/Junior High School",301-500,Day,Boys
39722,Saint Edward's School,Vero Beach,FL,1895 Saint Edwards Dr,32963-2659,US,/school-directory/school/39722,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",501-700,Day,CoEd
43299,Saint Francis Central Coast Catholic High School,Watsonville,CA,2400 E Lake Ave,95076-1427,US,/school-directory/school/43299,,201-300,Day,CoEd
39737,Saint George's School,Spokane,WA,2929 W Waikiki Rd,99208-9209,US,/school-directory/school/39737,"Elementary/Primary School, Middle School/Junior High School, High School",301-500,Day,CoEd
41446,Saint Ignatius College Prep,Chicago,IL,1076 W Roosevelt Rd,60608-1531,US,/school-directory/school/41446,High School,1001+,Day,CoEd
40441,Saint Ignatius High School,Cleveland,OH,1911 W 30th St,44113-3495,US,/school-directory/school/40441,,1001+,Day,Boys
39748,Saint James School,Hagerstown,MD,17641 College Rd,21740-1707,US,/school-directory/school/39748,"Middle School/Junior High School, High School",201-300,Boarding Day,CoEd
39770,Saint John's Preparatory School,Collegeville,MN,2280 Watertower Rd,56321,US,/school-directory/school/39770,"Middle School/Junior High School, High School",201-300,Boarding Day,CoEd
39780,Saint Louis Priory School,Saint Louis,MO,500 S Mason Rd,63141-8522,US,/school-directory/school/39780,"Middle School/Junior High School, High School",301-500,Day Services Available Lunch,Boys
42460,Saint Mark's School - Altadena,Pasadena,CA,Po Box 91207,91109,US,/school-directory/school/42460,"Pre-School, Elementary/Primary School",201-300,Day,CoEd
41464,Saint Mary's Hall,San Antonio,TX,9401 Starcrest Dr,78217-4162,US,/school-directory/school/41464,"Pre-School, Elementary/Primary School, Middle School/Junior High School, High School",701-1000,Day,CoEd
39798,Saint Mary's School,Raleigh,NC,900 Hillsborough Street,27603-1610,US,/school-directory/school/39798,High School,301-500,Boarding Day,Girls
41515,Saint Michael Episcopal School,Dallas,TX,4344 Colgate Avenue,75225-0385,US,/school-directory/school/41515,Pre-School,101-200,Day,CoEd
